Date,Open,High,Low,Close,Adj Close,Volume
1/2/2009,12.268572,13.005714,12.165714,12.964286,11.223147,186503800
1/5/2009,13.31,13.74,13.244286,13.511429,11.696809,295402100
1/6/2009,13.707143,13.881429,13.198571,13.288571,11.503882,322327600
1/7/2009,13.115714,13.214286,12.894286,13.001429,11.255305,188262200
1/8/2009,12.918571,13.307143,12.862857,13.242857,11.464305,168375200
1/9/2009,13.315714,13.34,12.877143,12.94,11.202125,136711400
1/12/2009,12.922857,12.998571,12.507143,12.665714,10.964678,154429100
1/13/2009,12.605714,12.82,12.335714,12.53,10.847189,199599400
1/14/2009,12.32,12.464286,12.102858,12.19,10.552851,255416000
1/15/2009,11.51,12.017143,11.435715,11.911428,10.311691,457908500
1/16/2009,12.042857,12.054286,11.485714,11.761429,10.181838,261906400
1/20/2009,11.704286,11.714286,11.171429,11.171429,9.671075,229978700
1/21/2009,11.341429,11.84,11.33,11.832857,10.243671,272317500
1/22/2009,12.577143,12.857142,12.26,12.622857,10.927574,352382100
1/23/2009,12.402857,12.838572,12.357142,12.622857,10.927574,190942500
1/26/2009,12.694285,12.995714,12.614285,12.805715,11.085875,173059600
1/27/2009,12.884286,13.078571,12.82,12.961429,11.220674,154509600
1/28/2009,13.16,13.571428,13.071428,13.457143,11.649816,215351500
1/29/2009,13.298572,13.477143,13.228572,13.285714,11.50141,148182300
1/30/2009,13.228572,13.374286,12.858571,12.875714,11.146472,162869700
2/2/2009,12.728572,13.142858,12.7,13.072857,11.317137,139561800
2/3/2009,13.131429,13.34,12.897142,13.282857,11.498934,149827300
2/4/2009,13.317142,13.75,13.3,13.364285,11.569427,202105400
2/5/2009,13.252857,13.892858,13.231428,13.78,11.929309,187311600
2/6/2009,13.86,14.285714,13.857142,14.245714,12.332478,171802400
2/9/2009,14.285714,14.714286,14.214286,14.644286,12.677522,178752700
2/10/2009,14.475715,14.644286,13.865714,13.975715,12.098739,212265200
2/11/2009,13.767143,14.044286,13.681429,13.831429,11.973831,168743400
2/12/2009,13.69,14.25,13.69,14.181429,12.276825,204297100
2/13/2009,14.141429,14.277143,14.017143,14.165714,12.263221,152244400
2/17/2009,13.838572,13.862857,13.468572,13.504286,11.690626,169559600
2/18/2009,13.578571,13.692857,13.245714,13.481428,11.670837,171194800
2/19/2009,13.338572,13.464286,12.872857,12.948571,11.209543,230701100
2/20/2009,12.771428,13.2,12.714286,13.028571,11.278802,187579000
2/23/2009,13.092857,13.142858,12.358571,12.421429,10.7532,196745500
2/24/2009,12.492857,12.984285,12.428572,12.892858,11.161312,201776400
2/25/2009,12.837143,13.274285,12.75,13.022857,11.273849,208263300
2/26/2009,13.142858,13.274285,12.708571,12.741428,11.030221,157467100
2/27/2009,12.561429,13.042857,12.524285,12.758572,11.045059,176664600
3/2/2009,12.588572,13.028571,12.524285,12.562857,10.875631,192732400
3/3/2009,12.704286,12.962857,12.554286,12.624286,10.928811,181085100
3/4/2009,12.882857,13.252857,12.778571,13.024285,11.275091,185350900
3/5/2009,12.922857,13.124286,12.635715,12.691428,10.986937,176724800
3/6/2009,12.62,12.628572,11.761429,12.185715,10.549142,252786800
3/9/2009,12.025714,12.514286,11.795714,11.872857,10.278301,174574400
3/10/2009,12.124286,12.738571,12.051429,12.661428,10.960966,211064700
3/11/2009,12.83,13.438571,12.797143,13.24,11.461835,211593200
3/12/2009,13.271428,13.797143,13.142858,13.764286,11.915707,192114300
3/13/2009,13.757143,13.885715,13.572857,13.704286,11.863766,150292100
3/16/2009,13.79,13.912857,13.454286,13.631429,11.800693,199311000
3/17/2009,13.605714,14.241428,13.581429,14.237143,12.325058,196661500
3/18/2009,14.272857,14.782857,14.245714,14.502857,12.555087,199009300
3/19/2009,14.55,14.742857,14.321428,14.517143,12.567451,125045200
3/20/2009,14.584286,14.73,14.367143,14.512857,12.563742,173896800
3/23/2009,14.672857,15.451428,14.535714,15.38,13.314426,166599300
3/24/2009,15.194285,15.634286,15.055715,15.214286,13.170968,160153000
3/25/2009,15.368571,15.48,14.837143,15.212857,13.169731,161654500
3/26/2009,15.404285,15.711429,15.368571,15.695714,13.587737,154063000
3/27/2009,15.461429,15.504286,15.2,15.264286,13.214252,123218200
3/30/2009,14.93,15.001429,14.658571,14.927143,12.92239,125699000
3/31/2009,15.064285,15.35,15,15.017143,13.000303,142520000
4/1/2009,14.87,15.571428,14.841429,15.527143,13.441809,147343000
4/2/2009,15.734285,16.392857,15.682858,16.101429,13.938966,203091700
4/3/2009,16.312857,16.59,16.217142,16.57,14.344605,159060300
4/6/2009,16.42,16.964285,16.182858,16.921429,14.648834,164516100
4/7/2009,16.647142,16.667143,16.312857,16.428572,14.222171,134145200
4/8/2009,16.49,16.684286,16.368572,16.617144,14.385418,113907500
4/9/2009,16.917143,17.142857,16.851429,17.081429,14.787349,132689200
4/13/2009,17.144285,17.282858,17,17.174286,14.867738,97309100
4/14/2009,17.081429,17.167143,16.75,16.901428,14.631524,113655500
4/15/2009,16.742857,16.892857,16.537144,16.805714,14.548663,103220600
4/16/2009,17.027143,17.592857,16.969999,17.35,15.019844,148361500
4/17/2009,17.311428,17.75,17.178572,17.631428,15.263478,124373900
4/20/2009,17.389999,17.57,17.022858,17.214285,14.902363,116616500
4/21/2009,16.984285,17.448572,16.942858,17.394285,15.058187,117671400
4/22/2009,17.518572,17.907143,17.314285,17.358572,15.027266,234691800
4/23/2009,18.088572,18.171429,17.644285,17.914286,15.508345,236289200
4/24/2009,17.805714,17.877142,17.567142,17.700001,15.322845,135191000
4/27/2009,17.557142,17.857143,17.522858,17.818571,15.425488,120172500
4/28/2009,17.621429,18.030001,17.608572,17.700001,15.322845,113964200
4/29/2009,17.835714,18.121429,17.690001,17.877142,15.476197,114527700
4/30/2009,18.031429,18.142857,17.845715,17.975714,15.561527,124622400
5/1/2009,17.971428,18.278572,17.971428,18.177143,15.735903,99379000
5/4/2009,18.32,18.892857,18.24,18.867144,16.333237,152339600
5/5/2009,18.821428,18.98,18.731428,18.95857,16.412386,99563800
5/6/2009,19.047142,19.071428,18.602858,18.928572,16.386417,118384700
5/7/2009,18.904285,18.912857,18.271429,18.437143,15.960989,132944000
5/8/2009,18.434286,18.747143,18.037144,18.455715,15.977063,116991000
5/11/2009,18.195715,18.70857,18.16,18.51,16.024052,101164700
5/12/2009,18.508572,18.530001,17.607143,17.774286,15.387154,152370400
5/13/2009,17.601429,17.717142,17.054285,17.07,14.777458,148992900
5/14/2009,17.111429,17.647142,17.1,17.564285,15.205353,111956600
5/15/2009,17.474285,17.802856,17.372858,17.488571,15.139811,91891800
5/18/2009,17.675714,18.1,17.367144,18.092857,15.66294,114710400
5/19/2009,18.117144,18.472857,17.962856,18.207144,15.761878,93105600
5/20/2009,18.232857,18.45857,17.9,17.981428,15.566477,97146000
5/21/2009,17.878571,18.111429,17.555714,17.74,15.357468,101986500
5/22/2009,17.721428,17.74,17.392857,17.5,15.149704,74499600
5/26/2009,17.822857,18.690001,17.792856,18.682858,16.1737,159231800
5/27/2009,18.825714,19.282858,18.701429,19.007143,16.454433,161605500
5/28/2009,19.064285,19.341429,18.861429,19.295713,16.704248,121888200
5/29/2009,19.341429,19.414286,19.121429,19.401428,16.795763,114133600
6/1/2009,19.495714,19.998571,19.428572,19.907143,17.233564,113124900
6/2/2009,19.855715,20.191429,19.764286,19.927143,17.250879,114055900
6/3/2009,20,20.158571,19.867144,20.135714,17.431435,141299900
6/4/2009,20.018572,20.597143,20.005714,20.534286,17.776474,137658500
6/5/2009,20.758572,20.914286,20.45857,20.667143,17.891493,158179000
6/8/2009,20.545713,20.604286,19.918571,20.549999,17.790079,232913100
6/9/2009,20.544285,20.651428,20.078571,20.388571,17.650331,169241100
6/10/2009,20.325714,20.335714,19.757143,20.035715,17.344868,172155900
6/11/2009,19.935715,20.222857,19.792856,19.992857,17.307766,131205900
6/12/2009,19.83,19.871429,19.434286,19.567142,16.939226,140771400
6/15/2009,19.43,19.561428,19.27,19.441429,16.830395,134937600
6/16/2009,19.522858,19.781429,19.442858,19.478571,16.862553,128701300
6/17/2009,19.524286,19.635714,19.218571,19.368572,16.767323,142853200
6/18/2009,19.444286,19.714285,19.370001,19.411428,16.804422,106920100
6/19/2009,19.724285,19.928572,19.557142,19.925714,17.249638,180464200
6/22/2009,20.095715,20.222857,19.475714,19.624287,16.988697,158728500
6/23/2009,19.485714,19.564285,18.982857,19.144285,16.57316,176633100
6/24/2009,19.345715,19.642857,19.265715,19.459999,16.846472,121381400
6/25/2009,19.392857,20.028572,19.315714,19.98,17.296631,147361900
6/26/2009,19.969999,20.508572,19.962856,20.348572,17.615707,109846100
6/29/2009,20.494286,20.564285,20.219999,20.281429,17.557579,141904000
6/30/2009,20.368572,20.542856,20.257143,20.347143,17.614468,108556000
7/1/2009,20.5,20.665714,20.360001,20.404285,17.663937,103544700
7/2/2009,20.178572,20.404285,19.969999,20.002857,17.316422,92619800
7/6/2009,19.814285,19.855715,19.464285,19.801428,17.142044,124672100
7/7/2009,19.782858,19.954287,19.311428,19.342857,16.745068,115399200
7/8/2009,19.417143,19.719999,19.202858,19.602858,16.970142,143982300
7/9/2009,19.68,19.712856,19.418571,19.48,16.863781,85756300
7/10/2009,19.477142,19.852858,19.474285,19.788572,17.13092,111318900
7/13/2009,19.934286,20.334286,19.647142,20.334286,17.603334,120875300
7/14/2009,20.290001,20.454287,20.165714,20.324286,17.594685,86811900
7/15/2009,20.719999,21,20.617144,20.982857,18.164808,121396800
7/16/2009,20.822857,21.145714,20.795713,21.074286,18.243958,98392700
7/17/2009,21.297142,21.717142,21.232857,21.678572,18.76708,150538500
7/20/2009,21.895714,22.148571,21.555714,21.844286,18.910545,183881600
7/21/2009,21.898571,21.918571,21.392857,21.644285,18.737402,218695400
7/22/2009,22.54143,22.675714,22.301428,22.391428,19.384203,218526000
7/23/2009,22.375713,22.634285,22.222857,22.545713,19.517771,131740700
7/24/2009,22.421429,22.857143,22.357143,22.855715,19.786135,109590600
